M-34-101-A-b-3-3-1,-
M-34-100-B-b-4-4-3,Korytarzyk przy Jaskini Kalackiej
M-34-100-B-b-4-4-3,Myślenicka Nyża
M-34-100-B-b-4-4-3,Myślenicka Szczelina
M-34-100-B-b-4-4-3,Myślenicki Korytarzyk
M-34-100-B-b-4-4-3,Nisza w Zawraciku Kasprowym
M-34-100-B-b-4-4-4,Nyża pod Jaskinią Magurską Trzecia
M-34-100-B-b-4-4-3,Nyża pod Myślenicką Szczeliną
M-34-100-B-b-4-4-3,Schron z Nietoperzami
M-34-100-B-b-4-4-4,Schronisko Jasne w Czubie Jaworzyńskiej
M-34-100-B-b-4-4-4,Szczelina nad Jaskinią Partyzancką
M-34-100-B-b-4-4-3,Szczelina w Myślenickich Turniach Dolna
M-34-100-B-b-4-4-3,Szczelina w Myślenickich Turniach Górna
M-34-100-B-b-4-4-3,Szczelina w Zawraciku Kasprowym Pierwsza
M-34-100-B-b-4-4-3,Szczelina w Zawraciku Kasprowym Druga
M-34-100-B-b-4-4-3,Szczelina w Zawraciku Kasprowym Trzecia
M-34-100-B-b-4-4-4,Szczelina w Zawraciku Kasprowym Czwarta
M-34-100-B-b-4-4-4,Jaworzyńskie Rówienki
M-34-100-B-b-4-4-1,Zaręba
M-34-100-B-b-4-4-1,Wykroty
M-34-100-B-b-4-4-1,Cygan
M-34-100-B-b-4-4-2,Za Boczań
M-34-100-B-b-4-4-2,Suchy Brzeżek
M-34-100-B-b-4-4-4,Wyżniowa Droga
M-34-100-B-b-4-4-4,Wyżniowa Droga
M-34-100-B-b-4-4-4,Wyżniowa Droga
M-34-100-B-b-4-4-4,Żleb pod Czerwienicą
M-34-100-B-b-4-4-4,Turniowa Droga
M-34-100-B-b-4-4-4,Turniowa Droga
M-34-100-B-b-4-4-4,Turniowa Droga
M-34-100-B-b-4-4-4,Siodłowa Perć
M-34-100-B-b-4-4-4,Siodłowa Perć
M-34-100-B-b-4-4-4,Siodłowa Perć
M-34-100-B-b-4-4-4,Piszczałki
M-34-100-B-b-4-4-4,Siodłowa Droga
M-34-100-B-b-4-4-4,Siodłowa Droga
M-34-100-B-b-4-4-4,Siodłowa Droga
M-34-100-B-b-4-4-4,Pod Turnie
M-34-100-B-b-4-4-4,Ściany
M-34-100-B-b-4-4-4,Wołowa Turnia
M-34-100-B-b-4-4-4,Pod Limbowe
M-34-100-B-b-4-4-3,Szeroki Żleb
M-34-100-B-b-4-4-1,Skałka
M-34-100-B-b-4-4-3,Filar z Grotą
M-34-100-B-b-4-4-3,Kasprowa Iglica
M-34-100-B-b-4-4-3,Kasprowa Niżnia
M-34-100-B-b-4-4-4,Szerokie Siodło
M-34-100-B-b-4-4-4,Bananowa Rysa
M-34-100-B-b-4-4-3,Bystra Polanka
M-34-100-B-b-4-4-1,Cycek
M-34-100-B-b-4-4-4,Gładki Zachód
M-34-100-B-b-4-4-3,Wywierzysko Bystre
M-34-100-B-c-2-3-1,Baniste
M-34-100-B-c-2-3-1,Banisty Żleb
M-34-100-B-c-2-3-1,Baraniarka
M-34-100-B-c-2-3-3,Cielęce Tańce
M-34-100-B-c-2-3-3,Dudowa Kotlina
M-34-100-B-c-2-3-3,Dudowe Stawki
M-34-100-B-c-2-3-3,Dudowe Turnie
M-34-100-B-c-2-3-1,Dwojakowy Żleb
M-34-100-B-c-2-3-3,Graniczniak
M-34-100-B-c-2-3-2,Iwanowski Potok
M-34-100-B-c-2-3-4,Kotłowe Siodło
M-34-100-B-c-2-3-4,Kotłowy Upłaz
M-34-100-B-c-2-3-4,Kotły
M-34-100-B-c-2-3-3,Mała Szczerba
M-34-100-B-c-2-3-4,Mały Rohacz
M-34-100-B-c-2-3-4,Ornaczańska Przełęcz
M-34-100-B-c-2-3-2,Ornak
M-34-100-B-c-2-3-4,Pieranisko
M-34-100-B-c-2-3-3,Piętra
M-34-100-B-c-2-3-1,Pośredni Upłaz
M-34-100-B-c-2-3-1,Pośredni Żleb
M-34-100-B-c-2-3-3,Rówień za Wodą
M-34-100-B-c-2-3-4,Siwe Skały
M-34-100-B-c-2-3-1,Skoruśniak
M-34-100-B-c-2-3-4,Skośne Wolarnie
M-34-100-B-c-2-3-1,Skrajna Wolarnia
M-34-100-B-c-2-3-1,Stara Robota
M-34-100-B-c-2-3-3,Starorobociańska Rówień
M-34-100-B-c-2-3-4,Starorobociański Potok
M-34-100-B-c-2-3-1,Starorobociański Potok
M-34-100-B-c-2-3-1,Starorobociański Potok
M-34-100-B-c-2-3-3,Starorobociański Potok
M-34-100-B-c-2-3-3,Stosy
M-34-100-B-c-2-3-2,Suchy Wierch Ornaczański
M-34-100-B-c-2-3-2,Szeroki Upłaz
M-34-100-B-c-2-3-3,Szyja
M-34-100-B-c-2-3-4,Tatry Zachodnie
M-34-100-B-c-2-3-4,Tatry
M-34-100-B-c-2-3-4,Usypy
M-34-100-B-c-2-3-3,Wielka Szczerba
M-34-100-B-c-2-3-2,Wielki Rohacz
M-34-100-B-c-2-3-2,Wielkie Dwojaki
M-34-100-B-c-2-3-1,Wydarte
M-34-100-B-c-2-3-1,Wydarty Żleb
M-34-100-B-c-2-3-2,Wyżnia Ornaczańska Przełęcz
M-34-100-B-c-2-3-4,Zadni Ornak
M-34-100-B-c-2-3-4,Zadnia Wolarnia
M-34-100-B-c-2-3-3,Żleb na Przełęcz
M-34-100-B-c-2-3-3,Żleb pod Pyszną
M-34-100-B-c-2-3-1,Hawiarska Droga
M-34-100-B-c-2-3-2,Nadbaniste
M-34-100-B-c-2-3-3,Wywieziona Ulica
M-34-101-A-c-1-4-4,Bacowa Skała
M-34-101-A-c-1-4-2,Biały Żleb
M-34-101-A-c-1-4-1,Buczynowa Dolinka
M-34-101-A-c-1-4-2,Buczynowa Koleba
M-34-101-A-c-1-4-1,Buczynowa Przełęcz
M-34-101-A-c-1-4-1,Buczynowa Siklawa
M-34-101-A-c-1-4-1,Buczynowa Strażnica
M-34-101-A-c-1-4-1,Buczynowa Turniczka
M-34-101-A-c-1-4-1,Buczynowe Turnie
M-34-101-A-c-1-4-1,Czarne Ściany
M-34-101-A-c-1-4-2,Dziadula
M-34-101-A-c-1-4-1,Granacka Przełęcz
M-34-101-A-c-1-4-1,Granaty
M-34-101-A-c-1-4-2,Koryto
M-34-101-A-c-1-4-3,Kozie Percie
M-34-101-A-c-1-4-2,Krzyżne
M-34-101-A-c-1-4-1,Żleb Kulczyńskiego
M-34-101-A-c-1-4-1,Mała Buczynowa Turnia
M-34-101-A-c-1-4-3,Mały Staw
M-34-101-A-c-1-4-3,Niżni Zagon
M-34-101-A-c-1-4-4,Niżnia Kopa
M-34-101-A-c-1-4-3,Niżnie Rzędy
M-34-101-A-c-1-4-3,Niżnie Solnisko
M-34-101-A-c-1-4-2,Nowa Roztoka
M-34-101-A-c-1-4-1,Przełęcz Nowickiego
M-34-101-A-c-1-4-1,Orla Baszta
M-34-101-A-c-1-4-3,Piargi pod Siklawą
M-34-101-A-c-1-4-4,Dolina Pięciu Stawów Polskich
M-34-101-A-c-1-4-1,Pośredni Granat
M-34-101-A-c-1-4-4,Przedni Staw
M-34-101-A-c-1-4-1,Przełęcz nad Doliną Buczynową
M-34-101-A-c-1-4-1,Ptak
M-34-101-A-c-1-4-3,Roztoka
M-34-101-A-c-1-4-4,Roztoka
M-34-101-A-c-1-4-2,Roztoka
M-34-101-A-c-1-4-1,Rysa Zaruskiego
M-34-101-A-c-1-4-4,Rzeżuchy
M-34-101-A-c-1-4-3,Siklawa
M-34-101-A-c-1-4-1,Skrajna Pańszczycka Czuba
M-34-101-A-c-1-4-1,Skrajny Granat
M-34-101-A-c-1-4-2,Skrajny Litworowy Żleb
M-34-101-A-c-1-4-3,Stara Koleba
M-34-101-A-c-1-4-1,Suche
M-34-101-A-c-1-4-3,Szeroki Żleb
M-34-101-A-c-1-4-1,Szeroki Żleb Buczynowy
M-34-101-A-c-1-4-4,Świstowa Czuba
M-34-101-A-c-1-4-2,Urwany Żleb
M-34-101-A-c-1-4-4,Usypisty Piarg
M-34-101-A-c-1-4-4,Usypisty Żleb
M-34-101-A-c-1-4-1,Wielka Buczynowa Turnia
M-34-101-A-c-1-4-3,Wielki Staw
M-34-101-A-c-1-4-2,Wielki Wołoszyn
M-34-101-A-c-1-4-2,Wielki Wołoszyn
M-34-101-A-c-1-4-2,Wołoszyn
M-34-101-A-c-1-4-3,Wyżni Zagon
M-34-101-A-c-1-4-4,Wyżnia Kopa
M-34-101-A-c-1-4-3,Wyżnie Rzędy
M-34-101-A-c-1-4-1,Zadni Granat
M-34-101-A-c-1-4-4,Zadni Litworowy Żleb
M-34-101-A-c-1-4-1,Zadnia Pańszczycka Czuba
M-34-101-A-c-1-4-1,Zadnia Sieczkowa Przełęcz
M-34-101-A-c-1-4-2,Żleb pod Krzyżem
M-34-101-A-c-1-4-4,Żółta Skała
M-34-101-A-c-1-4-2,Dziura nad Nową Roztoką
M-34-101-A-c-1-4-2,Dziura nad Roztoką
M-34-101-A-c-1-4-1,Buczynowa Grań
M-34-101-A-c-1-4-1,Buczynowe Czuby
M-34-101-A-c-1-4-1,Budzowa Przełączka
M-34-101-A-c-1-4-1,Kozie Wierchy
M-34-101-A-c-1-4-3,Kozie Wierchy
M-34-101-A-c-1-4-1,Przełączka nad Dolinką Buczynową
M-34-101-A-c-1-4-1,Przełączka nad Dolinką Buczynową
M-34-101-A-c-1-4-2,Przełączka Pod Ptakiem
M-34-101-A-c-1-4-1,Przełączka Pod Ptakiem
M-34-101-A-c-1-4-1,Pośrednia Sieczkowa Przełączka
M-34-101-A-c-1-4-1,Skrajna Sieczkowa Przełączka
M-34-101-A-c-1-4-1,Niżnia Pańszczycka Przełączka
M-34-101-A-c-1-4-1,Niżnia Pańszczycka Przełączka
M-34-101-A-c-1-4-1,Pańszczyckie Czuby
M-34-101-A-c-1-4-1,Pościel Jasińskiego
M-34-101-A-c-1-4-1,Pościel Jasińskiego
M-34-101-A-c-1-4-1,Niżnia Orla Przełączka
M-34-101-A-c-1-4-1,Wyżnia Orla Przełączka
M-34-101-A-c-1-4-1,Orle Turniczki
M-34-101-A-c-1-4-1,Budzowa Igła
M-34-101-A-c-1-4-1,Wielka Orla Turniczka
M-34-101-A-c-1-4-1,Kopa nad Krzyżnem
M-34-101-A-c-1-4-1,Mała Orla Turniczka
M-34-101-A-c-1-4-1,Pańszczyckie Koryto
M-34-101-A-c-1-4-1,Buczynowe Ramię
M-34-101-A-c-1-4-1,Ku Kolebie
M-34-101-A-c-1-4-1,Mała Buczynowa Przełączka
M-34-101-A-c-1-4-1,Mała Buczynowa Przełączka
M-34-101-A-c-1-4-1,Kopa nad Krzyżnem
M-34-101-A-c-1-4-1,Buczynowy Grzebyk
M-34-101-A-c-1-4-1,Buczynowy Przechód
M-34-101-A-c-1-4-1,Zazadani Czarny Granat
M-34-101-A-c-1-4-4,Siodło
M-34-101-A-c-1-4-4,Żleb Siniaków
M-34-101-A-c-1-4-4,Świstowy Mnich
M-34-101-A-c-1-4-3,Wrótka
M-34-101-A-c-1-4-1,Pańszczycka Przełączka Pośrednia
M-34-101-A-c-1-4-1,Pańszczycka Przełączka Pośrednia
M-34-101-A-c-1-4-1,Pańszczycka Przełączka Wyżnia
M-34-101-A-c-1-4-1,Pańszczycka Przełączka Wyżnia
M-34-101-A-c-1-4-2,Do Łomów
M-34-101-A-c-1-4-1,Kozi Mur
M-34-101-A-c-1-4-4,Świstowa Kopa
M-34-101-A-c-1-4-4,Świstowe Siodło
M-34-101-A-c-1-4-4,Roztocki Mnich
M-34-101-A-c-1-4-4,Żleb Paryskiego
M-34-101-A-c-1-4-4,Równia nad Kępą
M-34-101-A-c-1-4-4,Północna Ściana
M-34-101-A-c-1-4-4,Komin Siniaków
M-34-101-A-c-1-3-4,Czarna Skała
M-34-101-A-c-1-3-1,Czerwone Stawki
M-34-101-A-c-1-3-1,Czerwone Stawki
M-34-101-A-c-1-3-1,Długi Staw
M-34-101-A-c-1-3-4,Pusta Dolinka
M-34-101-A-c-1-3-3,Dolinka pod Kołem
M-34-101-A-c-1-3-1,Gąsienicowa Przełączka
M-34-101-A-c-1-3-1,Gąsienicowa Turnia
M-34-101-A-c-1-3-1,Gąsienicowe Stawy
M-34-101-A-c-1-3-3,Gładka Przełęcz
M-34-101-A-c-1-3-1,Karb
M-34-101-A-c-1-3-3,Koło
M-34-101-A-c-1-3-4,Kołowa Czuba
M-34-101-A-c-1-3-2,Kościelcowa Przełęcz
M-34-101-A-c-1-3-2,Kościelcowy Kocioł
M-34-101-A-c-1-3-1,Kościelec
M-34-101-A-c-1-3-4,Kozi Wierch
M-34-101-A-c-1-3-2,Kozia Dolinka
M-34-101-A-c-1-3-2,Kozia Przełęcz
M-34-101-A-c-1-3-2,Kozia Przełęcz Wyżnia
M-34-101-A-c-1-3-2,Kozie Czuby
M-34-101-A-c-1-3-4,Mały Kozi Wierch
M-34-101-A-c-1-3-2,Mylna Przełęcz
M-34-101-A-c-1-3-2,Niebieska Przełęcz
M-34-101-A-c-1-3-1,Niebieska Turnia
M-34-101-A-c-1-3-4,Niżnie Solnisko
M-34-101-A-c-1-3-3,Dolina Pięciu Stawów Polskich
M-34-101-A-c-1-3-1,Pośrednia Turnia
M-34-101-A-c-1-3-4,Przełęcz Schodki
M-34-101-A-c-1-3-1,Skrajna Przełęcz
M-34-101-A-c-1-3-1,Skrajny Żleb
M-34-101-A-c-1-3-2,Żleb Staniszewskiego
M-34-101-A-c-1-3-1,Świnica
M-34-101-A-c-1-3-1,Świnicka Kotlinka
M-34-101-A-c-1-3-1,Świnicka Przełęcz
M-34-101-A-c-1-3-3,Walentkowa Kopka
M-34-101-A-c-1-3-3,Walentkowa Przełęcz
M-34-101-A-c-1-3-3,Walentkowy Wierch
M-34-101-A-c-1-3-4,Wolaczyska
M-34-101-A-c-1-3-3,Wole Oko
M-34-101-A-c-1-3-1,Wyżnia Niebieska Przełączka
M-34-101-A-c-1-3-2,Wyżnia Zmarzła Przełączka
M-34-101-A-c-1-3-4,Wyżnie Solnisko
M-34-101-A-c-1-3-2,Zadni Kościelec
M-34-101-A-c-1-3-3,Zadni Piarg
M-34-101-A-c-1-3-3,Zadni Staw
M-34-101-A-c-1-3-1,Zadni Staw Gąsienicowy
M-34-101-A-c-1-3-1,Zadnie Koło
M-34-101-A-c-1-3-2,Zamarła Turnia
M-34-101-A-c-1-3-1,Żleb Zaruskiego
M-34-101-A-c-1-3-2,Zawrat
M-34-101-A-c-1-3-2,Zawratowa Turnia
M-34-101-A-c-1-3-2,Zawratowy Żleb
M-34-101-A-c-1-3-2,Zmarzła Przełęcz
M-34-101-A-c-1-3-2,Zmarzłe Czuby
M-34-101-A-c-1-3-2,Zmarzły Staw
M-34-101-A-c-1-3-2,Żydowski Żleb
M-34-101-A-c-1-3-1,Schron przy Źródle
M-34-101-A-c-1-3-1,Schron w Zadnim Kościelcu
M-34-101-A-c-1-3-2,Szczelina w Zadnim Kościelcu
M-34-101-A-c-1-3-2,Świnicka Koleba
M-34-101-A-c-1-3-2,Świnicka Koleba Niżnia
M-34-101-A-c-1-3-2,Wyżnia Szczelina w Zadnim Kościelcu
M-34-101-A-c-1-3-1,Wyżnia Świnicka Szczerbina
M-34-101-A-c-1-3-1,Świnicka Kopa
M-34-101-A-c-1-3-1,Niżnia Świnicka Szczerbina
M-34-101-A-c-1-3-1,Niżnie Walentkowe Wrótka
M-34-101-A-c-1-3-3,Pośrednia Walentkowa Czuba
M-34-101-A-c-1-3-3,Wyżnie Walentkowe Wrótka
M-34-101-A-c-1-3-3,Wielka Walentkowa Czuba
M-34-101-A-c-1-3-3,Niżnia Walentkowa Baszta
M-34-101-A-c-1-3-3,Wielka Walentkowa Szczerbina
M-34-101-A-c-1-3-3,Walentkowa Grań
M-34-101-A-c-1-3-2,Żleb Drége’a
M-34-101-A-c-1-3-3,Wyżnia Walentkowa Szczerbina
M-34-101-A-c-1-3-3,Wyżnie Walentkowe Wrótka
M-34-101-A-c-1-3-3,Niżnie Walentkowe Wrótka
M-34-101-A-c-1-3-1,Zgłady nad Czerwonymi Stawkami
M-34-101-A-c-1-3-1,Mylna Kotlinka
M-34-101-A-c-1-3-1,Świnicka Grań
M-34-101-A-c-1-3-2,Rysa Kordysa
M-34-101-A-c-1-3-2,Honoratka
M-34-101-A-c-1-3-2,Nowy Zawrat
M-34-101-A-c-1-3-1,Niżnie Mylne Wrótka
M-34-101-A-c-1-3-1,Pośrednie Mylne Wrótka
M-34-101-A-c-1-3-1,Wyżnie Mylne Wrótka
M-34-101-A-c-1-3-1,Mylna Strażnica
M-34-101-A-c-1-3-1,Komin Świerza
M-34-101-A-c-1-3-1,Niebieska Przełączka Wyżnia
M-34-101-A-c-1-3-2,Kościelcowa Grzęda
M-34-101-A-c-1-3-2,Czarna Wanta
M-34-101-A-c-1-3-2,Kocioł Zmarzłego Stawu
M-34-101-A-c-1-3-2,Kocioł Czarnego Stawu Gąsienicowego
M-34-101-A-c-1-3-2,Mały Zawrat
M-34-101-A-c-1-3-2,Rysa Rzepeckich
M-34-101-A-c-1-3-2,Pańszczyckie Koryto
M-34-101-A-c-1-3-2,Żebro Czecha
M-34-101-A-c-1-3-3,Niżnia Walentkowa Szczerbina
M-34-101-A-c-1-3-3,Pośrednia Walentkowa Czuba
M-34-101-A-c-1-3-3,Mała Walentkowa Czuba
M-34-101-A-c-1-3-3,Walentkowy Grzebień
M-34-101-A-c-1-3-3,Niżnia Walentkowa Baszta
M-34-101-A-c-1-3-3,Wielka Walentkowa Czuba
M-34-101-A-c-1-3-1,Swinicki Przechód
M-34-101-A-c-1-3-2,Mylna Kopa
M-34-101-A-c-1-3-1,Mylna Turnia
M-34-101-A-c-1-3-2,Komin Drewnowskiego
M-34-101-A-c-1-3-2,Płyta Lerskiego
M-34-101-A-c-1-3-1,Czuba nad Karbem
M-34-101-A-c-1-3-2,Filar Leporowskiego
M-34-101-A-c-1-3-4,Turnia nad Schodkami
M-34-101-A-c-1-3-3,Gładkie
M-34-100-B-a-3-2-4,Koryciańskie Turnie
M-34-100-B-b-1-3-4,Blachowski Potok
M-34-100-B-b-1-3-4,Blachowski Potok
M-34-100-B-b-1-3-2,Butorowski Potok
M-34-100-B-b-1-3-4,Butorowski Potok
M-34-100-B-b-1-3-4,Butorowski Potok
M-34-100-B-b-1-3-4,Butorowy Wierch
M-34-100-B-b-1-3-2,Dzianiski Potok
M-34-100-B-b-1-3-1,Golów
M-34-100-B-b-1-3-2,Groniki
M-34-100-B-b-1-3-1,Groników Stawki
M-34-100-B-b-1-3-1,Palenica
M-34-100-B-b-1-3-2,Ptasiów
M-34-100-B-b-1-3-1,Głęboki Potok
M-34-100-B-b-1-3-2,Paługów Potok
M-34-100-B-b-1-3-1,Mietłówka
M-34-100-B-b-1-3-1,Gawrony
M-34-100-B-b-1-3-1,Droga przez Gubałówkę
M-34-100-B-d-1-1-4,Chuda Przełączka
M-34-100-B-d-1-1-4,Chuda Turnia
M-34-100-B-d-1-1-3,Jaskinia Ciasna
M-34-100-B-d-1-1-4,Ciemniak
M-34-100-B-d-1-1-1,Cienka Skałka
M-34-100-B-d-1-1-4,Czerwone Wierchy
M-34-100-B-d-1-1-2,Dziura nad Studnią
M-34-100-B-d-1-1-2,Dziurawe
M-34-100-B-d-1-1-3,Gawra
M-34-100-B-d-1-1-1,Gładkie Upłaziańskie
M-34-100-B-d-1-1-3,Jaskinia Jagnięca
M-34-100-B-d-1-1-3,Kamienne Tomanowe
M-34-100-B-d-1-1-1,Karczma
M-34-100-B-d-1-1-4,Karczmisko
M-34-100-B-d-1-1-4,Kazalnica
M-34-100-B-d-1-1-2,Kobylarz
M-34-100-B-d-1-1-2,Korytarz nad Dziurawem
M-34-100-B-d-1-1-4,Kozie Upłazki
M-34-100-B-d-1-1-3,Krakowska Piwnica
M-34-100-B-d-1-1-3,Kraków
M-34-100-B-d-1-1-2,Krucha Szczelina
M-34-100-B-d-1-1-4,Lodowa Baszta
M-34-100-B-d-1-1-3,Jaskinia Lodowa Krakowska
M-34-100-B-d-1-1-4,Jaskinia Lodowa Mułowa
M-34-100-B-d-1-1-4,Jaskinia Lodowa w Ciemniaku
M-34-100-B-d-1-1-3,Lustrzana Szczelina
M-34-100-B-d-1-1-4,Mała Przełączka
M-34-100-B-d-1-1-1,Mała Sikawka
M-34-100-B-d-1-1-2,Mała Świstówka
M-34-100-B-d-1-1-2,Jaskinia Marmurowa
M-34-100-B-d-1-1-3,Mechy
M-34-100-B-d-1-1-2,Jaskinia Miętusia Wyżnia
M-34-100-B-d-1-1-2,Hala Miętusia
M-34-100-B-d-1-1-2,Jaskinia Miętusia
M-34-100-B-d-1-1-4,Mułowa Przełęcz
M-34-100-B-d-1-1-4,Dolina Mułowa
M-34-100-B-d-1-1-3,Dziura nad Zachodem Wyżnia
M-34-100-B-d-1-1-2,Jaskinia Niedźwiedzia Niżnia
M-34-100-B-d-1-1-2,Niedźwiedź Miętusi
M-34-100-B-d-1-1-4,Niżnie Szerokie Upłaziańskie
M-34-100-B-d-1-1-1,Piec
M-34-100-B-d-1-1-2,Piwnica Miętusia
M-34-100-B-d-1-1-3,Jaskinia pod Okapem
M-34-100-B-d-1-1-3,Dziura pod Smrekiem
M-34-100-B-d-1-1-2,Jaskinia pod Wierchem
M-34-100-B-d-1-1-3,Jaskinia Pośrednia
M-34-100-B-d-1-1-3,Przednie Wysokie Siodło
M-34-100-B-d-1-1-4,Przełączka przy Kopie
M-34-100-B-d-1-1-3,Przełączka za Saturnem
M-34-100-B-d-1-1-2,Jaskinia przy Grzędzie
M-34-100-B-d-1-1-2,Jaskinia przy Progu Mułowym
M-34-100-B-d-1-1-1,Przysłopki
M-34-100-B-d-1-1-3,Jaskinia Psia
M-34-100-B-d-1-1-3,Ptakowa Turnia
M-34-100-B-d-1-1-3,Ptasi Schron
M-34-100-B-d-1-1-2,Ptasia Studnia
M-34-100-B-d-1-1-2,Ratusz Litworowy
M-34-100-B-d-1-1-4,Rzędy
M-34-100-B-d-1-1-1,Skalnisty Żlebek
M-34-100-B-d-1-1-3,Smreczyńskie Kamienne
M-34-100-B-d-1-1-1,Snoza
M-34-100-B-d-1-1-2,Studnia w Dziurawem
M-34-100-B-d-1-1-2,Studnia w Małej Świstówce
M-34-100-B-d-1-1-3,Żleb Trzynastu Progów
M-34-100-B-d-1-1-2,Twarda Ściana
M-34-100-B-d-1-1-4,Twardy Grzbiet
M-34-100-B-d-1-1-4,Twardy Grzbiet
M-34-100-B-d-1-1-4,Twardy Upłaz
M-34-100-B-d-1-1-4,Upłaz
M-34-100-B-d-1-1-1,Upłaziańska Kopa
M-34-100-B-d-1-1-1,Upłazkowa Przełączka
M-34-100-B-d-1-1-3,Upłazkowa Turnia
M-34-100-B-d-1-1-2,Jaskinia w Małej Świstówce
M-34-100-B-d-1-1-4,Jaskinia w Progu
M-34-100-B-d-1-1-4,Jaskinia w Szerokiem
M-34-100-B-d-1-1-4,Jaskinia w Trawie
M-34-100-B-d-1-1-2,Wantule
M-34-100-B-d-1-1-1,Wielka Sikawka
M-34-100-B-d-1-1-2,Wielka Świstówka
M-34-100-B-d-1-1-2,Wodniściak
M-34-100-B-d-1-1-3,Wolarnia
M-34-100-B-d-1-1-1,Wolarnia
M-34-100-B-d-1-1-3,Wolarski Przechód
M-34-100-B-d-1-1-2,Wołowy Żleb
M-34-100-B-d-1-1-3,Wysoka Turnia
M-34-100-B-d-1-1-3,Jaskinia Wysoka
M-34-100-B-d-1-1-3,Wysoki Grzbiet
M-34-100-B-d-1-1-3,Wysokie Siodło Kamienne
M-34-100-B-d-1-1-1,Wysranki
M-34-100-B-d-1-1-4,Wyżnie Szerokie Upłaziańskie
M-34-100-B-d-1-1-3,Jaskinia z Mostami
M-34-100-B-d-1-1-3,Jaskinia za Siedmiu Progami
M-34-100-B-d-1-1-3,Zadnie Wysokie Siodło
M-34-100-B-d-1-1-1,Jaskinia Zakopiańska
M-34-100-B-d-1-1-4,Jaskinia Zawaliskowa w Szerokiem
M-34-100-B-d-1-1-2,Zawaliskowy Korytarz
M-34-100-B-d-1-1-1,Zdziary
M-34-100-B-d-1-1-1,Żleb pod Wysranki
M-34-100-B-d-1-1-3,Żar
M-34-100-B-d-1-1-3,Gruzowa Dziura
M-34-100-B-d-1-1-3,Arkada
M-34-100-B-d-1-1-2,Ciasna Szczelina
M-34-100-B-d-1-1-2,Dziura na Półce
M-34-100-B-d-1-1-3,Dziura nad Trawiastym Progiem
M-34-100-B-d-1-1-2,Dziura nad Wantulami Pierwsza
M-34-100-B-d-1-1-2,Dziura nad Wantulami Druga
M-34-100-B-d-1-1-2,Dziura nad Wantulami Trzecia
M-34-100-B-d-1-1-4,Dziura nad Zawaliskiem
M-34-100-B-d-1-1-3,Dziura nad Żlebem
M-34-100-B-d-1-1-3,Dziura nad Zachodem
M-34-100-B-d-1-1-3,Dziura pod Arkadą
M-34-100-B-d-1-1-3,Dziura pod Wantą
M-34-100-B-d-1-1-4,Dziura pod Zawaliskiem
M-34-100-B-d-1-1-4,Dziura w Ciemniaku
M-34-100-B-d-1-1-2,Dziura w Kominie
M-34-100-B-d-1-1-3,Dziura w Wielkiej Turni
M-34-100-B-d-1-1-4,Dziura w Wysokim Grzbiecie
M-34-100-B-d-1-1-1,Dziura w Ździarach
M-34-100-B-d-1-1-3,Dziura z Konkrecjami Niżnia
M-34-100-B-d-1-1-3,Dziura z Konkrecjami Wyżnia
M-34-100-B-d-1-1-2,Górne Kominy
M-34-100-B-d-1-1-2,Harnasiowa Szczelina
M-34-100-B-d-1-1-2,Jasiowa Dziura
M-34-100-B-d-1-1-3,Jaskinia Dwuotworowa Krakowska
M-34-100-B-d-1-1-3,Jaskinia Gankowa
M-34-100-B-d-1-1-3,Jaskinia Hakowa
M-34-100-B-d-1-1-4,Jaskinia Lejbusiowa
M-34-100-B-d-1-1-2,Jaskinia Lodowa Miętusia
M-34-100-B-d-1-1-2,Jaskinia Lodowa w Twardych Spadach
M-34-100-B-d-1-1-4,Jaskinia Mała w Mułowej
M-34-100-B-d-1-1-3,Jaskinia nad Arkadą
M-34-100-B-d-1-1-3,Jaskinia Pajęcza
M-34-100-B-d-1-1-3,Jaskinia Piarżysta
M-34-100-B-d-1-1-2,Jaskinia Niedźwiedzia Średnia
M-34-100-B-d-1-1-3,Jaskinia przy Perci
M-34-100-B-d-1-1-3,Jaskinia przy Sikawce
M-34-100-B-d-1-1-3,Jaskinia Skoruszowa
M-34-100-B-d-1-1-2,Jaskinia za Zaciskiem
M-34-100-B-d-1-1-3,Jaskinia Zakosista
M-34-100-B-d-1-1-3,Jaworowa Szczelina
M-34-100-B-d-1-1-4,Kamienista Szczelina
M-34-100-B-d-1-1-3,Koliby
M-34-100-B-d-1-1-2,Komin w Kazalnicy Miętusiej
M-34-100-B-d-1-1-3,Korytarzyk pod Jaskinią Jagnięcą
M-34-100-B-d-1-1-3,Korytarzyk w Żlebie Niedźwiedź
M-34-100-B-d-1-1-3,Kozi Schron Pierwszy
M-34-100-B-d-1-1-3,Krasowa Nisza
M-34-100-B-d-1-1-2,Mała Komora
M-34-100-B-d-1-1-3,Mokra Szczelina
M-34-100-B-d-1-1-1,Nyża w Ździarach
M-34-100-B-d-1-1-2,Omszała Szczelina
M-34-100-B-d-1-1-3,Ósemka
M-34-100-B-d-1-1-2,Piwniczka
M-34-100-B-d-1-1-2,Podwójna Szczelina
M-34-100-B-d-1-1-2,Schron nad Kominami
M-34-100-B-d-1-1-2,Schron pod Twardymi Spadami
M-34-100-B-d-1-1-3,Schron przy Arkadzie
M-34-100-B-d-1-1-2,Schron przy Studni
M-34-100-B-d-1-1-3,Schron przy Studni Kuturniańskiej
